case_id,qtype,question,gold,8b_free,8b_orch,30ba3b_free,30ba3b_orch,32b_free,32b_orch
clevrer-1205-14,counterfactual,"Without the brown object, what will happen?",B. The red cube and the sphere collide,True,True,True,True,,
clevrer-1439-12,predictive,Which event will happen next?,B. The green cylinder and the rubber sphere collide,True,True,True,True,,
clevrer-1445-13,counterfactual,"If the rubber cylinder is removed, which of the following will happen?",D. The brown sphere collides with the blue object,True,True,True,True,,
clevrer-1456-11,explanatory,Which of the following is responsible for the rubber cylinder's exit?,C. the cube's colliding with the green cylinder,True,True,True,True,,
clevrer-1504-12,explanatory,Which of the following is not responsible for the collision between the rubber sphere and ,C. the presence of the yellow metal sphere,True,True,False,False,,
clevrer-1635-11,explanatory,Which of the following is responsible for the sphere's colliding with the purple object?,C. the sphere's colliding with the yellow cylinder,False,False,True,True,,
clevrer-1648-13,counterfactual,"If the sphere is removed, which of the following will happen?",C. The cyan cube and the blue object collide,False,False,False,False,,
clevrer-1674-13,predictive,What will happen next?,B. The metal cylinder and the rubber sphere collide,False,False,False,False,,
clevrer-1802-11,explanatory,Which of the following is not responsible for the collision between the yellow rubber cube,C. the presence of the yellow metal sphere,False,False,False,False,,
clevrer-1876-15,counterfactual,"Without the cylinder, which of the following will not happen?",B. The metal cube and the rubber cube collide,True,True,True,True,,
clevrer-1945-12,explanatory,Which of the following is not responsible for the gray cube's colliding with the sphere?,A. the yellow cube's entering the scene,True,True,True,True,,
clevrer-1974-12,predictive,What will happen next?,A. The sphere collides with the purple object,True,True,False,False,,
clevrer-2193-13,predictive,What will happen next?,A. The metal sphere collides with the cylinder,True,True,False,False,,
clevrer-2358-12,explanatory,Which of the following is responsible for the purple cylinder's colliding with the metal o,D. the collision between the blue rubber cylinder and the purple object,True,True,True,True,,
clevrer-2516-11,explanatory,Which of the following is not responsible for the collision between the red cylinder and t,C. the brown cylinder's entering the scene,False,False,True,True,,
clevrer-2659-11,explanatory,Which of the following is responsible for the cyan cylinder's colliding with the rubber sp,C. the collision between the cyan cylinder and the blue rubber cylinder,True,True,True,True,,
clevrer-2685-12,predictive,What will happen next?,A. The cylinder collides with the rubber cube,False,False,False,False,,
clevrer-2735-14,counterfactual,Which of the following will happen without the cube?,C. The red object collides with the metal cylinder,False,False,True,True,,
clevrer-2736-11,explanatory,Which of the following is not responsible for the collision between the cube and the metal,C. the presence of the yellow cylinder,False,False,True,True,,
clevrer-2886-12,explanatory,Which of the following is not responsible for the collision between the green cylinder and,C. the brown cube's colliding with the green cube,False,False,True,True,,
clevrer-3018-11,explanatory,Which of the following is not responsible for the green metal sphere's colliding with the ,D. the green cylinder's entering the scene,False,False,True,True,,
clevrer-3218-13,predictive,What will happen next?,B. The brown cylinder collides with the cube,True,True,False,False,,
clevrer-3516-14,counterfactual,Which of the following will not happen if the yellow object is removed?,D. The metal cube collides with the gray cube,True,True,False,False,,
clevrer-3754-11,explanatory,Which of the following is not responsible for the collision between the cylinder and the r,C. the collision between the brown sphere and the metal sphere,True,True,True,True,,
clevrer-3758-12,predictive,What will happen next?,A. The purple cylinder and the cube collide,False,False,True,False,,
clevrer-3813-13,predictive,What will happen next?,B. The cylinder and the rubber cube collide,False,False,True,False,,
clevrer-3866-12,explanatory,Which of the following is not responsible for the collision between the red object and the,B. the cylinder's colliding with the gray sphere,True,True,False,True,,
clevrer-3977-14,counterfactual,Which event will happen without the yellow object?,B. The cube collides with the green object,False,False,False,False,,
clevrer-3981-15,counterfactual,"Without the cylinder, which of the following will not happen?",D. The yellow object collides with the metal cube,True,True,True,True,,
