case_id,qtype,question,gold,n_gold_scenes,4b_free,4b_orch,8b_free,8b_orch,30ba3b_free,30ba3b_orch,32b_free,32b_orch,4b_selfreflect,8b_selfreflect,4b_perc_gtlocal,8b_perc_gtlocal
nextgqa-10309542255-4,tc,how did the animals respond when being pushed by each other during the fight,push back,7,True,True,True,True,True,True,True,True,True,True,,
nextgqa-10727696143-5,tn,what did the boy do after running to the door,talk to person outside door,1,True,True,True,True,False,False,True,True,True,True,,
nextgqa-11276567104-3,tn,what does the priest do after letting go of the woman s head,pat her shoulders and talk,1,True,True,True,True,False,False,True,True,True,True,,
nextgqa-14012319794-4,cw,why did the girl pull the tent down towards her in the middle of the video,try to take flag on top,1,True,True,False,False,True,False,True,False,True,False,,
nextgqa-2547885226-4,tp,what does the kid do before right before standing up,looks at the camera,1,False,False,False,False,False,False,False,False,False,False,False,False
nextgqa-2614918961-2,cw,why does the baby bring the two toys on his hand nearer to each other some times,playing with the toys,2,True,True,True,True,True,True,True,True,True,True,,
nextgqa-2669452260-4,tn,what does the man do after drinking,put down the can,1,True,True,True,True,True,True,True,True,True,False,,
nextgqa-2782658657-0,cw,why does the girl in white look down at the feet at the beginning of the video,ready to run,1,False,False,False,False,False,False,False,False,False,False,False,False
nextgqa-2868183184-7,tn,what does the girl do after the woman opens the cap,look closer,1,False,False,False,False,True,True,True,True,False,False,True,False
nextgqa-2984974097-8,ch,how does the girl express her excitement while cycling,smile brightly,1,True,True,True,True,True,True,True,True,True,True,,
nextgqa-3026084730-11,tn,what did the three men do after the middle man finished speaking,walks away,1,True,True,False,False,True,True,False,False,True,False,,
nextgqa-3078294001-3,cw,why does the man in white move away from the man in black in the middle,starts walking while talking,1,False,False,False,False,False,False,True,True,False,False,True,True
nextgqa-3376544720-9,ch,how does the bull move,spin and  up and down,1,False,False,False,True,False,False,False,False,False,False,True,False
nextgqa-3429509208-1,cw,why is the boy touching the vacuum cleaner,push it,1,True,False,False,False,False,False,False,False,True,False,,
nextgqa-3441428429-9,tn,what does the male skater do after he pushes the female skater away at the beginning,get up,1,True,True,True,True,False,True,False,False,True,False,,
nextgqa-3524939594-2,tc,how do the two men feel when they were moved backwards very quickly,thrilled,1,True,True,True,True,True,True,True,True,True,True,,
nextgqa-3741143820-8,tn,how did the guy in the audience respond after the two guy performers finished talking at t,put hand on forehead,1,True,True,True,True,True,False,True,True,True,False,,
nextgqa-3943634344-10,tn,what did the lady do after clapping at the end of the video,holds the book,1,False,False,False,False,False,False,False,False,False,False,False,False
nextgqa-3960291106-7,tn,what does the woman in black do after putting her hands on her face at the end of the vide,claps,1,True,True,True,True,True,True,True,True,True,True,,
nextgqa-4087013668-8,tn,what did the lady in pink do after the boy looked at her at the end of the video,clap hands,1,False,False,False,False,False,False,False,False,False,False,True,True
nextgqa-4123915842-7,tc,what did the girl do as the lady in green was doing up her hair in the middle,stand up,1,False,False,False,True,False,False,False,False,False,False,False,False
nextgqa-4244817395-3,cw,why does the lady in strip touch the cheeck of the boy near the end,signal him something inside drinking machine,1,True,True,True,True,True,True,False,False,True,False,,
nextgqa-4336654741-7,tn,what does the baby do after the lady shakes her head at the end,imitate her,1,True,True,True,True,True,True,True,True,True,False,,
nextgqa-4367056464-2,cw,why does the girl clap in front of the table,excited,1,True,True,True,True,True,False,False,False,True,True,,
nextgqa-4378803532-8,tn,what did the girl in red do after she approached the boy to look at the sparkles,walk away,1,True,True,True,True,True,True,True,True,True,False,,
nextgqa-4419096437-1,cw,why is the person moving his hand,put cat to sleep,2,False,False,True,True,False,False,True,True,False,True,False,True
nextgqa-4443526735-3,ch,how does the baby move,in a swing,1,True,True,True,True,True,True,True,True,True,True,,
nextgqa-4650556666-2,cw,why is the child on the floor near the end of the video,lose balance,1,True,True,True,True,True,True,True,True,True,True,,
nextgqa-4674481985-2,tn,how did the man who jumped into the water respond after getting into the water,swim back out,1,False,False,False,False,False,False,False,False,False,False,False,False
nextgqa-4838145161-0,cw,why is there water flowing from the tap,for cat to drink,1,False,False,True,True,True,True,True,True,False,True,False,True
nextgqa-4838145161-2,cw,why is the cat shaking its paws after moving back,swat water from face,2,True,True,False,False,False,False,False,False,True,False,,
nextgqa-4942054721-4,tc,what were the goats doing that were zoomed in by the video doing,feeding,1,False,False,False,False,True,True,False,False,False,False,False,False
nextgqa-4968805923-4,ch,how did the man express his excitement after he managed to hit the water balloon,throw his cap onto the floor,1,False,False,True,True,True,True,True,True,False,False,False,True
nextgqa-4970148391-9,tn,what does the boy do after hitting the first balloon,remove spectacles,1,False,False,True,True,False,False,True,True,False,True,False,True
nextgqa-5056964274-5,tn,what did the boy do after he drink from the green pack,eats the food,1,True,True,True,True,True,True,True,True,True,True,,
nextgqa-5138093706-1,ch,how did the baby move up the stairs near the end of the video,crawl up,1,True,True,True,True,True,True,True,True,True,True,,
nextgqa-5421648216-5,tn,what does the brown sheep do after walking close to the black sheep at the start,stands next to him,1,True,True,True,True,True,True,True,True,True,True,,
nextgqa-5658916668-8,cw,why was the man lying flat on his tummy nearing the end,fell from his board,1,False,True,True,True,True,True,True,True,False,False,True,True
nextgqa-5803861992-1,ch,how did the woman beside the baby girl entertain her,hit face gently with fan,2,True,True,True,True,True,True,True,True,True,True,,
nextgqa-5803861992-9,tc,how is the baby react when the lady hit her with the fan,laugh,1,True,True,True,True,True,True,True,True,True,True,,
nextgqa-5840177726-0,ch,how did the men make their way upslope,cycle up slope,1,True,True,True,True,True,True,True,True,True,True,,
nextgqa-5945172741-7,ch,how did the man show affection to the girl when he held her,kiss her,1,True,True,False,False,False,False,True,True,True,False,,
nextgqa-6018514357-6,cw,why did the man hold the baby s hands,to support the baby,1,True,True,True,True,True,True,True,True,True,True,,
nextgqa-6097994550-4,ch,how does the man with spectacles move at the end of the video,crawls,1,True,True,False,True,True,True,True,True,True,True,,
nextgqa-6516459343-4,cw,why did the man in white pick up a knife after changing place with the man in green,cut the shoe,1,True,True,False,True,True,True,True,True,True,True,,
nextgqa-7001078933-1,cw,why did the white helmet and black helmet man bend down before moving towards each other,getting into position,1,True,True,True,True,True,False,True,True,True,True,,
nextgqa-8177965766-0,tn,what did the woman do to the microphone after awhile,switch to the other hand,1,True,True,True,True,True,True,True,True,True,True,,
nextgqa-8252088130-4,tn,what did the woman do after adjusting her hand in the middle,walk to show camera,1,False,False,False,False,True,True,False,False,False,False,False,False
nextgqa-8797589693-3,cw,why did the man in blue turn to the lady in grey jacket before sitting down,talk to lady,1,True,False,True,True,True,True,True,True,True,True,,
nextgqa-9408800471-6,cw,why does the dog run,follow the ball,2,True,True,True,True,True,True,True,True,True,True,,
